,UNIQUEID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,TOT_ENROLL,TOT_EMP,SHELTERID,preprocessed_name,centroid_x_epsg_102005,centroid_y_epsg_102005,centroid_long,centroid_lat,geometry,State,OPE ID,IPED ID,School Name,Institution Type,# of Nat'l AP Partners,# of Partners,Civic Holiday,MSI,NSLVE,"NSLVE
2014",2016 NSLVE Report,2018 NSLVE Reports,2016 Action Plan,2018 Action Plan,2020 Action Plan,Campus Contact,City,Longitude,Latitude,Pell Grant %,BIPOC %,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latinx,NHPI,Two or more Races,SLSV Coalition,ALL IN,AGF,Ask Every Student,Campus Vote Project,Voter Friendly Campus,StudentPIRGs,Aliento Education Fund,Alliance for Youth Organizing,American Democracy Project, Arizona Students' Association,Baltimore Collegetown Network		,Black Girls Vote,Boston Votes Coalition,California Campus Compact ,CALPIRG Students,CEEP,Civic Nebraska,Common Cause,Count US IN,Creative Campus Voting Project,Day on Democracy,Democracy Works,Engage Miami,Every Vote Counts,Forward Montana,Georgia Shift,Hillel International,IGNITE National,IA & MN Campus Compact,LeadMN,Loud Light,Maine Students Vote,MARYPIRG,MI Familia Vota,Minnesota Youth Collective,Mississippi Votes,NASPAA,New Era Colorado,NYPIRG,NCAAT,NCPIRG,NC Campus Compact,Ohio Campus Compact,PIRGIM Campus Action,Project Pericles,TurnUp Activism,Up to Us/ Net Impact,VoteRiders,Washington Student Association,Xceleader (Vote HBCU),NVEW 2020,"NVRD
2017",NVRD 2018,NVRD 2020,_merge
1018,487852,AMERICAN INSTITUTE OF ALTERNATIVE MEDICINE,"223 RT. 18, SUITE 205",EAST BRUNSWICK,NJ,08816,NOT AVAILABLE,(732) 651-6060,3,A,39.0,MIDDLESEX,34023,USA,611519,OTHER TECHNICAL AND TRADE SCHOOLS,http://www.massageschoolnewjersey.com/contact_us.html,2019-03-28,IMAGERY/OTHER,2019-04-09,massageschoolnewjersey.com,35.0,4.0,NOT AVAILABLE,americaninstitutealternativemedicine,1804793.3647234677,377416.30360173766,-74.407217851472,40.4660410063965,"POLYGON ((1804794.425157653 377382.3040653372, 1804758.086906991 377418.5973013861, 1804794.056057712 377450.1249671446, 1804827.766103428 377414.2004712999, 1804794.425157653 377382.3040653372))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1019,241766,CONSERVATORY OF MUSIC OF PUERTO RICO,951 PONCE DE LEON AVENUE,SAN JUAN,PR,00907,3373,(787) 751-0223,1,A,575.0,SAN JUAN,72127,PRI,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",www.cmpr.edu,2018-08-29,IMAGERY/OTHER,2019-04-23,www.cmpr.edu,413.0,162.0,NOT AVAILABLE,conservatorymusicpuertorico,3265546.878095269,-1736719.950404356,-66.07902339419476,18.454478839935625,"POLYGON ((3265506.050051083 -1736614.750341098, 3265574.557403499 -1736649.857267222, 3265620.910478877 -1736668.551822993, 3265602.668463621 -1736809.997075838, 3265595.922910515 -1736814.79684383, 3265524.899519019 -1736794.456506055, 3265472.161947711 -1736778.60339411, 3265477.220075132 -1736738.071800467, 3265499.813810536 -1736621.046020063, 3265506.050051083 -1736614.750341098))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1020,476735,ALEXANDER ACADEMY,55 MASSACHUSETTS AVENUE,LUNENBURG,MA,01462,0000,(978) 345-0011,3,A,78.0,WORCESTER,25027,USA,611511,COSMETOLOGY AND BARBER SCHOOLS,http://www.alexanderacademy.com/contact.html,2019-03-28,IMAGERY/OTHER,2019-03-28,www.alexanderacademy.com,61.0,17.0,NOT AVAILABLE,alexanderacademy,1958481.259772153,660102.7112219544,-71.76943585788588,42.58766088329408,"POLYGON ((1958460.782084246 660113.0715284972, 1958480.901867626 660124.3671675619, 1958501.476528905 660092.2998141428, 1958482.147574446 660080.8769443289, 1958460.782084246 660113.0715284972))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1021,461652,AVEDA INSTITUTE-BOISE,10222 W FAIRVIEW AVE,BOISE,ID,83704,4406,(208) 345-6164,3,A,65.0,ADA,16001,USA,611511,COSMETOLOGY AND BARBER SCHOOLS,https://www.avedaidaho.com/boise/,2019-03-28,IMAGERY/OTHER,2019-03-28,www.avedaidaho.com,54.0,11.0,NOT AVAILABLE,avedainstituteboise,-1622030.763491411,694501.0982558415,-116.31000619274023,43.6205016663926,"POLYGON ((-1622038.587799912 694520.4272625285, -1622015.671548107 694515.7803282005, -1622022.514054092 694482.0915689631, -1622046.107720588 694486.3497587998, -1622038.587799912 694520.4272625285))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1022,455141,AVEDA INSTITUTE-CHAPEL HILL,"201 S. ESTES DRIVE, SPACE 200",CHAPEL HILL,NC,27514,7001,(919) 960-4769,3,A,237.0,ORANGE,37135,USA,611511,COSMETOLOGY AND BARBER SCHOOLS,https://nurturavedainstitutes.com/chapel-hill/,2019-03-28,IMAGERY/OTHER,2019-03-28,nurturavedainstitutes.com/chapel-hill/,207.0,30.0,NOT AVAILABLE,avedainstitutechapelhill,1516972.6442651965,-199391.8741822625,-79.02670000183085,35.927974784465235,"POLYGON ((1516969.536290618 -199361.9249637343, 1516995.448857794 -199373.8374811001, 1516974.888916133 -199421.5665941162, 1516950.393651739 -199411.4022074956, 1516969.536290618 -199361.9249637343))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1023,242954,MODERN HAIRSTYLING INSTITUTE-ARECIBO,VISTA AZUL SHOPPING CENTER #2 KM.80.0,ARECIBO,PR,00612,NOT AVAILABLE,(787) 778-0300,3,A,81.0,ARECIBO,72013,PRI,611519,OTHER TECHNICAL AND TRADE SCHOOLS,http://modern.edu/contactos,2019-03-28,IMAGERY/OTHER,2019-03-28,www.modern.edu,74.0,7.0,NOT AVAILABLE,modernhairstylinginstitutearecibo,3193705.776557263,-1758382.309760412,-66.75402911338114,18.475827115850915,"POLYGON ((3193697.135727693 -1758395.646059228, 3193691.850503807 -1758376.587497771, 3193713.907906529 -1758368.567862544, 3193719.81807062 -1758388.459686509, 3193697.135727693 -1758395.646059228))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1024,488420,INDIANA MASSAGE COLLEGE,"10585 N. MERIDIAN STREET, SUITE 102",INDIANAPOLIS,IN,46290,NOT AVAILABLE,(317) 376-8640,3,A,132.0,HAMILTON,18057,USA,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://www.indianamassagecollege.com/,2019-03-28,IMAGERY/OTHER,2019-03-28,https://www.indianamassagecollege.com,110.0,22.0,NOT AVAILABLE,indianamassagecollege,835168.0742579838,149541.3156442132,-86.15640759990049,39.9405967863786,"POLYGON ((835139.3023140157 149585.8661095921, 835164.7436315436 149588.4096716793, 835167.630580565 149557.2581251567, 835169.3381553463 149541.4983194518, 835208.935305907 149544.0875643812, 835213.4099902355 149514.8087520492, 835145.085196188 149509.9577354864, 835137.5099305451 149585.8844666256, 835139.3023140157 149585.8661095921))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1025,486460,WRIGHT GRADUATE UNIVERSITY FOR THE REALIZATION OF HUMAN POTENTIAL,N7698 COUNTY HIGHWAY H,ELKHORN,WI,53121,2556,(262) 742-2110,2,A,38.0,WALWORTH,55127,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",http://www.wrightgrad.edu/about-us/?,2019-03-28,IMAGERY/OTHER,2019-04-01,www.wrightgrad.edu,23.0,15.0,NOT AVAILABLE,wrightgraduateuniversityforrealizationhumanpotential,603618.1273828606,442958.54198545316,-88.59149651669719,42.767881913507836,"POLYGON ((603627.4611444421 442945.5792327534, 603606.3669316198 442949.6245075637, 603609.9026680215 442971.1555590024, 603628.486135275 442968.8680800234, 603627.4611444421 442945.5792327534))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1026,454829,ASPEN UNIVERSITY,"1660 SOUTH ALBION STREET, SUITE 525",DENVER,CO,80222,NOT AVAILABLE,(303) 333-4224,3,A,5731.0,DENVER,08031,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",www.aspen.edu,2019-03-28,IMAGERY/OTHER,2019-03-28,www.aspen.edu,5424.0,307.0,NOT AVAILABLE,aspenuniversity,-761456.6867600485,113524.43979674083,-104.93917290306365,39.68616451148291,"POLYGON ((-761475.1221020925 113567.7173550436, -761430.4954407376 113564.1257637029, -761438.7937970714 113479.7283814357, -761482.846437749 113486.050955343, -761475.1221020925 113567.7173550436))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1027,455381,SKIN SCIENCE INSTITUTE,10299 S. 1300 E.,SANDY,UT,84094,NOT AVAILABLE,(801) 983-0619,3,A,169.0,SALT LAKE,49035,USA,611511,COSMETOLOGY AND BARBER SCHOOLS,https://skinscienceinstitute.com/locations/,2019-03-28,IMAGERY/OTHER,2019-04-08,skinscienceinstitute.com,146.0,23.0,NOT AVAILABLE,skinscienceinstitute,-1328755.2787698766,289455.47322054615,-111.85138107831182,40.5644147297017,"POLYGON ((-1328783.075790945 289485.20919602, -1328719.920454552 289473.2624265617, -1328727.35495506 289426.2791370395, -1328790.24653903 289436.9329808024, -1328783.075790945 289485.20919602))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1028,455798,OXFORD ACADEMY OF HAIR DESIGN INC,153 NORTH STREET,SEYMOUR,CT,06483,NOT AVAILABLE,(203) 888-0973,3,A,117.0,NEW HAVEN,09009,USA,611511,COSMETOLOGY AND BARBER SCHOOLS,https://www.oxfordhairacademy.com/,2019-03-28,IMAGERY/OTHER,2019-03-28,www.oxfordhairacademy.com,99.0,18.0,NOT AVAILABLE,oxfordacademyhairdesigninc,1889257.0439002092,505077.99298676924,-73.06098011852404,41.397704691235404,"POLYGON ((1889204.897465507 505072.5653712227, 1889263.956799054 505129.2137270572, 1889310.739204326 505087.2100255772, 1889247.876097637 505024.6726916825, 1889204.897465507 505072.5653712227))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1029,434690,GOLF ACADEMY OF AMERICA-MYRTLE BEACH,3268 WACCAMAW BLVD.,MYRTLE BEACH,SC,29579,NOT AVAILABLE,(800) 342-7342,3,M,-999.0,HORRY,45051,USA,611210,JUNIOR COLLEGES,www.golfacademy.edu,2019-03-28,IMAGERY/OTHER,2019-04-18,www.golfacademy.edu,-999.0,-999.0,NOT AVAILABLE,golfacademyamericamyrtlebeach,1574343.876209078,-439047.51771693735,-78.89668487943122,33.709229235830826,"POLYGON ((1574340.848769814 -439009.3442114464, 1574377.599101084 -439026.2249803479, 1574345.865081375 -439086.8329946551, 1574310.62577554 -439067.5162444226, 1574340.848769814 -439009.3442114464))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1031,461582,ESTELLE SKIN CARE AND SPA INSTITUTE,"10024 SKOKIE BLVD, #301",SKOKIE,IL,60077,9945,(847) 329-9174,3,A,160.0,COOK,17031,USA,611511,COSMETOLOGY AND BARBER SCHOOLS,https://www.estelle.edu/,2019-03-29,IMAGERY/OTHER,2019-03-29,www.estelle.edu,136.0,24.0,NOT AVAILABLE,estelleskincarespainstitute,679317.6791022029,370959.49545969244,-87.74696928397286,42.063658515005756,"POLYGON ((679298.1195799665 370988.4286262223, 679332.6393115262 370989.9685608352, 679337.4272134355 370930.6917549107, 679302.5164666477 370929.1164565702, 679298.1195799665 370988.4286262223))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1032,460570,SALTER SCHOOL OF NURSING AND ALLIED HEALTH,670 N. COMMERCIAL ST. SUITE 403,MANCHESTER,NH,03103,NOT AVAILABLE,(603) 622-8400,3,A,134.0,HILLSBOROUGH,33011,USA,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://www.salternursing.com/location/,2019-03-29,IMAGERY/OTHER,2019-03-29,www.salternursing.com,117.0,17.0,NOT AVAILABLE,salterschoolnursingalliedhealth,1970098.4835028274,710508.5646939292,-71.46872119279703,42.99766690230716,"POLYGON ((1970033.085190954 710598.500107363, 1970075.263724334 710617.2550800411, 1970132.912689756 710486.7222281449, 1970138.506636236 710488.2641382923, 1970165.904815668 710426.7176286984, 1970115.520555889 710405.7006492785, 1970033.085190954 710598.500107363))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1033,476878,AESTHETIC SCIENCE INSTITUTE,922 TROY-SCHENECTADY ROAD,LATHAM,NY,12110,1095,(518) 786-0760,3,A,61.0,ALBANY,36001,USA,611511,COSMETOLOGY AND BARBER SCHOOLS,https://www.aestheticscienceinstitute.edu/contact/locations,2019-03-29,IMAGERY/OTHER,2019-03-29,www.aestheticscienceinstitute.edu,54.0,7.0,NOT AVAILABLE,aestheticscienceinstitute,1793494.9303562199,637173.742019292,-73.79499769812524,42.76192383985131,"POLYGON ((1793490.317107224 637187.3284418933, 1793511.594909215 637184.1157823027, 1793511.046524346 637175.3729311264, 1793487.907426665 637156.7700983455, 1793477.378052444 637170.4965109755, 1793489.486153892 637180.3674332839, 1793490.317107224 637187.3284418933))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1034,461953,COLORADO ACADEMY OF VETERINARY TECHNOLOGY,2766 JANITELL ROAD,COLORADO SPRINGS,CO,80906,4944,(719) 219-9636,3,A,136.0,EL PASO,08041,USA,611210,JUNIOR COLLEGES,https://cavt.edu/,2019-03-29,IMAGERY/OTHER,2019-03-29,www.cavt.edu,120.0,16.0,NOT AVAILABLE,coloradoacademyveterinarytechnology,-758353.1929296847,13741.576592640007,-104.79042423872852,38.79433935032836,"POLYGON ((-758365.5937240992 13727.11567773608, -758364.8548427497 13756.97926615036, -758340.8102893694 13756.14069763545, -758341.56941813 13726.06671975943, -758365.5937240992 13727.11567773608))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1035,457314,ANGELES INSTITUTE,"17100 PIONEER BLVD, SUITE 170",ARTESIA,CA,90701,2713,(562) 531-4100,3,A,138.0,LOS ANGELES,06037,USA,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://www.angelesinstitute.edu/contact,2019-03-29,IMAGERY/OTHER,2019-03-29,www.angelesinstitute.edu/,110.0,28.0,NOT AVAILABLE,angelesinstitute,-2020127.0647797624,-322900.61180841265,-118.08066432602949,33.87566648364308,"POLYGON ((-2020168.692710299 -322860.7739001217, -2020072.011132741 -322875.8408607141, -2020088.90487612 -322944.2555778335, -2020182.858833431 -322920.8908501336, -2020168.692710299 -322860.7739001217))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1036,457776,TONI & GUY HAIRDRESSING ACADEMY-ALBUQUERQUE,"2201 UPTOWN LOOP RD NE, STE F",ALBUQUERQUE,NM,87110,NOT AVAILABLE,(505) 842-8616,3,A,164.0,BERNALILLO,35001,USA,611511,COSMETOLOGY AND BARBER SCHOOLS,https://abq.toniguy.edu/,2019-03-26,IMAGERY/OTHER,2019-03-29,Abq.toniguy.edu,150.0,14.0,NOT AVAILABLE,toniguyhairdressingacademyalbuquerque,-958305.6866898622,-376994.77623964916,-106.56644129771314,35.102244200277404,"POLYGON ((-958297.5435137296 -377018.3961010612, -958331.4277167171 -377012.0609899767, -958331.6181914685 -377002.4712434624, -958320.2568180282 -376971.1889862889, -958301.7683057863 -376973.9784425089, -958272.5699660514 -376985.1052069964, -958297.5435137296 -377018.3961010612))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1037,457785,INTERNATIONAL ACADEMY OF STYLE,2295 MARKET ST,RENO,NV,89502,1559,(775) 823-9003,3,A,71.0,WASHOE,32031,USA,611511,COSMETOLOGY AND BARBER SCHOOLS,https://internationalacademyofstyle.com/contact-2/,2019-03-29,IMAGERY/OTHER,2019-03-29,www.internationalacademyofstyle.com,47.0,24.0,NOT AVAILABLE,internationalacademystyle,-2011094.3328835927,321016.26189001906,-119.78320195892587,39.516226093896144,"POLYGON ((-2011114.338337977 321042.9477312363, -2011070.07831157 321033.1883594106, -2011069.689077897 320987.2858203087, -2011124.876367079 321005.4293980926, -2011114.338337977 321042.9477312363))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1038,461643,BERGIN UNIVERSITY OF CANINE STUDIES,5701 OLD REDWOOD HWY,PENNGROVE,CA,94951,NOT AVAILABLE,(707) 545-3647,2,A,84.0,SONOMA,06097,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",https://www.berginu.edu/,2019-03-29,IMAGERY/OTHER,2019-04-08,www.berginu.edu,60.0,24.0,NOT AVAILABLE,berginuniversitycaninestudies,-2287604.0654943567,257911.10279443965,-122.66687163103057,38.289105522473285,"POLYGON ((-2287609.648267792 257945.6424155454, -2287577.29852881 257933.1466305717, -2287598.018443581 257877.2329429471, -2287631.00150278 257888.3529286029, -2287609.648267792 257945.6424155454))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1039,459222,SOUTHERN CALIFORNIA UNIVERSITY SOMA,3460 WILSHIRE BLVD. 5TH FLOOR,LOS ANGELES,CA,90010,NOT AVAILABLE,(213) 413-9500,3,M,-999.0,LOS ANGELES,06037,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",http://scusoma.edu/studentservices/facilities/,2019-03-29,IMAGERY/OTHER,2019-03-29,www.scusoma.edu,-999.0,-999.0,NOT AVAILABLE,southerncaliforniauniversitysoma,-2034811.0535950873,-298030.54620424454,-118.30003844329703,34.06138323068653,"POLYGON ((-2034839.603665795 -298057.6115673708, -2034825.997687556 -297994.0197496554, -2034780.783648569 -298005.2995891787, -2034793.375161902 -298053.5030636016, -2034803.857808598 -298067.2093161209, -2034839.603665795 -298057.6115673708))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1040,458423,EUROPEAN MASSAGE THERAPY SCHOOL-LAS VEGAS,"9440 W. SAHARA AVE., SUITE 250",LAS VEGAS,NV,89117,NOT AVAILABLE,(702) 202-2455,3,A,111.0,CLARK,32003,USA,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://www.school-for-massage.com/las-vegas-campus/,2019-03-29,IMAGERY/OTHER,2019-04-17,www.school-for-massage.com,99.0,12.0,NOT AVAILABLE,europeanmassagetherapyschoollasvegas,-1716982.8050607666,-134456.79967684473,-115.30064919292934,36.145585001639006,"POLYGON ((-1717029.999519253 -134416.6407383859, -1716923.799336554 -134440.1312371897, -1716935.339452981 -134496.3886771918, -1717041.296362477 -134474.3006864089, -1717029.999519253 -134416.6407383859))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1041,459532,SALON & SPA INSTITUTE,2695 NORTH CORIA STREET,BROWNSVILLE,TX,78520,8809,(956) 541-3330,3,A,96.0,CAMERON,48061,USA,611511,COSMETOLOGY AND BARBER SCHOOLS,http://ssi.edu/contact/,2019-03-29,IMAGERY/OTHER,2019-04-24,www.ssi.edu,84.0,12.0,NOT AVAILABLE,salonspainstitute,-153914.95464246607,-1447162.9625160478,-97.50853953943579,25.938921560775004,"POLYGON ((-153932.8362912835 -1447136.681006097, -153891.6202022485 -1447140.526359654, -153896.8005535805 -1447189.479689125, -153938.7320073471 -1447184.831464744, -153932.8362912835 -1447136.681006097))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1042,459417,COMPASS COLLEGE OF CINEMATIC ARTS,41 SHELDON BLVD SE,GRAND RAPIDS,MI,49503,NOT AVAILABLE,(616) 988-1000,2,A,162.0,KENT,26081,USA,611210,JUNIOR COLLEGES,http://compass.edu/about/contact-us/,2019-03-29,IMAGERY/OTHER,2019-03-29,compass.edu,129.0,33.0,NOT AVAILABLE,compasscollegecinematicarts,838583.5522038405,487528.9148897065,-85.66700817854478,42.96183022111448,"POLYGON ((838571.5638065396 487505.3387192708, 838566.2667484363 487550.2587362553, 838594.9258022832 487553.0938653586, 838601.2143071461 487507.4111939911, 838571.5638065396 487505.3387192708))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1043,460783,REMINGTON COLLEGE-HEATHROW CAMPUS,7131 BUSINESS PARK LANE STE. 300,LAKE MARY,FL,32746,NOT AVAILABLE,(615) 493-9399,2,A,355.0,SEMINOLE,12117,USA,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",http://heathrow.remingtoncollege.edu/,2019-03-29,IMAGERY/OTHER,2019-03-29,www.remingtoncollege.edu/,325.0,30.0,NOT AVAILABLE,remingtoncollegeheathrowcampus,1437026.3565184362,-1017495.2320660574,-81.35950207745654,28.78485776694504,"POLYGON ((1436983.634483486 -1017448.447403366, 1437051.307816688 -1017436.42151865, 1437068.821447536 -1017543.119662682, 1437001.315354608 -1017553.248407798, 1436983.634483486 -1017448.447403366))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1044,461412,NORTHERN VIRGINIA SCHOOL OF THERAPEUTIC MASSAGE,"6402 ARLINGTON BLVD, SUITE 840",FALLS CHURCH,VA,22042,4302,(703) 533-3113,3,A,142.0,FAIRFAX,51059,USA,611519,OTHER TECHNICAL AND TRADE SCHOOLS,https://www.nvschoolofmassage.com/,2019-03-29,IMAGERY/OTHER,2019-03-29,www.nvschoolofmassage.com/,122.0,20.0,NOT AVAILABLE,northernvirginiaschooltherapeuticmassage,1614495.2629310214,153302.7465970171,-77.16003660400891,38.873522023934335,"POLYGON ((1614451.434939963 153314.6039474329, 1614515.851292457 153345.6452173371, 1614538.307900527 153288.5466171784, 1614474.593775779 153261.1609580034, 1614451.434939963 153314.6039474329))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1045,461388,DIAMONDS COSMETOLOGY COLLEGE,3321 LOY LAKE RD,SHERMAN,TX,75090,2657,(903) 891-0758,3,A,65.0,GRAYSON,48181,USA,611511,COSMETOLOGY AND BARBER SCHOOLS,http://www.diamondscosmetology.com/contact-us/location/,2019-03-29,IMAGERY/OTHER,2019-04-08,www.diamondscosmetology.com/,57.0,8.0,NOT AVAILABLE,diamondscosmetologycollege,-56147.16207858845,-590877.154098079,-96.60612337991661,33.67344434151962,"POLYGON ((-56159.10725478738 -590887.4691920069, -56159.85002372648 -590866.5612669329, -56134.63464538458 -590866.7288356164, -56135.30662647614 -590888.2608159424, -56159.10725478738 -590887.4691920069))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1046,483346,DIVINE CROWN BARBER & BEAUTY ACADEMY,3849-C UNION DEPOSIT ROAD,HARRISBURG,PA,17110,NOT AVAILABLE,(717) 234-8463,3,A,50.0,DAUPHIN,42043,USA,611511,COSMETOLOGY AND BARBER SCHOOLS,http://divinecrown.com/contact-us/,2019-03-29,IMAGERY/OTHER,2019-04-01,www.divinecrown.com,43.0,7.0,NOT AVAILABLE,divinecrownbarberbeautyacademy,1610172.8630329922,311732.4838121834,-76.82595402990408,40.27766011908994,"POLYGON ((1610133.333802794 311762.2701409912, 1610188.177143499 311781.320765258, 1610212.834421276 311702.6152238949, 1610156.761957674 311684.1126128244, 1610133.333802794 311762.2701409912))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
1047,462053,STATE CAREER COLLEGE,2770 W. GRAND AVENUE,WAUKEGAN,IL,60085,5129,(847) 693-8103,3,A,142.0,LAKE,17097,USA,611519,OTHER TECHNICAL AND TRADE SCHOOLS,http://www.statecareercollege.edu/location/,2019-03-29,IMAGERY/OTHER,2019-04-08,www.statecareercollege.edu,130.0,12.0,NOT AVAILABLE,statecareercollege,666139.4758708943,404028.1605782224,-87.87050511418721,42.37080760268793,"POLYGON ((666124.0748012599 404039.6195522794, 666152.5858608994 404041.6899215175, 666154.5689035021 404016.8696719584, 666126.9309573098 404014.2405345773, 666124.0748012599 404039.6195522794))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
